id,segment,word,start_sec
721Ja6aOYSo,0,day,0.3
721Ja6aOYSo,0,bombard,0.8
721Ja6aOYSo,0,image,1.6
721Ja6aOYSo,0,place,3.1
721Ja6aOYSo,0,washington,3.5
721Ja6aOYSo,0,little,4.2
721Ja6aOYSo,0,time,4.4
721Ja6aOYSo,0,spend,4.8
721Ja6aOYSo,0,think,5.1
721Ja6aOYSo,0,try,7.3
721Ja6aOYSo,0,understand,7.6
721Ja6aOYSo,0,significance,8.0
721Ja6aOYSo,0,right,10.1
721Ja6aOYSo,0,ought,10.5
721Ja6aOYSo,0,watch,10.8
721Ja6aOYSo,0,video,11.2
721Ja6aOYSo,0,woman,12.5
721Ja6aOYSo,0,shoot,13.0
721Ja6aOYSo,0,inside,13.3
721Ja6aOYSo,0,us,13.8
721Ja6aOYSo,0,capitol,14.0
721Ja6aOYSo,0,afternoon,14.7
721Ja6aOYSo,0,footage,15.5
721Ja6aOYSo,0,upsetting,17.3
721Ja6aOYSo,0,find,17.9
721Ja6aOYSo,0,internet,18.4
721Ja6aOYSo,0,woman,19.4
721Ja6aOYSo,1,stand,19.8
721Ja6aOYSo,1,hallway,20.3
721Ja6aOYSo,1,right,20.8
721Ja6aOYSo,1,house,21.2
721Ja6aOYSo,1,floor,21.5
721Ja6aOYSo,1,center,21.9
721Ja6aOYSo,1,capitol,22.3
721Ja6aOYSo,1,building,22.6
721Ja6aOYSo,1,appear,23.8
721Ja6aOYSo,1,20,24.5
721Ja6aOYSo,1,american,25.3
721Ja6aOYSo,1,flag,25.7
721Ja6aOYSo,1,tie,26.1
721Ja6aOYSo,1,neck,26.6
721Ja6aOYSo,1,scene,27.2
721Ja6aOYSo,1,chaotic,28.0
721Ja6aOYSo,1,people,28.5
721Ja6aOYSo,1,bump,28.8
721Ja6aOYSo,1,oh,30.0
721Ja6aOYSo,1,yell,30.0
721Ja6aOYSo,1,try,30.5
721Ja6aOYSo,1,door,31.1
721Ja6aOYSo,1,senate,31.9
721Ja6aOYSo,1,chamber,32.2
721Ja6aOYSo,1,suddenly,33.2
721Ja6aOYSo,1,warning,33.9
721Ja6aOYSo,1,gunfire,34.6
721Ja6aOYSo,1,hear,35.3
721Ja6aOYSo,1,shoot,35.5
721Ja6aOYSo,1,woman,36.2
721Ja6aOYSo,1,fall,36.5
721Ja6aOYSo,1,hit,37.4
721Ja6aOYSo,1,bullet,37.8
721Ja6aOYSo,1,like,38.9
721Ja6aOYSo,2,chest,40.0
721Ja6aOYSo,2,apparently,40.4
721Ja6aOYSo,2,fire,40.8
721Ja6aOYSo,2,law,41.7
721Ja6aOYSo,2,enforcement,41.9
721Ja6aOYSo,2,people,42.8
721Ja6aOYSo,2,hallway,43.2
721Ja6aOYSo,2,screen,43.5
721Ja6aOYSo,2,camera,44.8
721Ja6aOYSo,2,close,45.2
721Ja6aOYSo,2,woman,46.2
721Ja6aOYSo,2,face,46.6
721Ja6aOYSo,2,look,47.7
721Ja6aOYSo,2,stun,48.0
721Ja6aOYSo,2,stare,49.4
721Ja6aOYSo,2,straight,49.8
721Ja6aOYSo,2,ahead,50.1
721Ja6aOYSo,2,unblinking,50.5
721Ja6aOYSo,2,eye,52.1
721Ja6aOYSo,2,know,53.3
721Ja6aOYSo,2,die,54.8
721Ja6aOYSo,2,end,56.2
721Ja6aOYSo,2,woman,57.0
721Ja6aOYSo,2,die,57.2
721Ja6aOYSo,2,couple,57.5
721Ja6aOYSo,2,hour,57.9
721Ja6aOYSo,2,ago,58.2
721Ja6aOYSo,2,local,58.5
721Ja6aOYSo,3,learn,60.7
721Ja6aOYSo,3,tragedy,63.9
721Ja6aOYSo,3,imagine,64.8
721Ja6aOYSo,3,second,65.5
721Ja6aOYSo,3,learn,66.8
721Ja6aOYSo,3,daughter,67.7
721Ja6aOYSo,3,time,69.2
721Ja6aOYSo,3,speak,69.6
721Ja6aOYSo,3,head,70.5
721Ja6aOYSo,3,washington,70.9
721Ja6aOYSo,3,political,71.7
721Ja6aOYSo,3,rally,72.3
721Ja6aOYSo,3,dead,73.7
721Ja6aOYSo,3,talk,75.1
721Ja6aOYSo,3,seriously,76.5
721Ja6aOYSo,3,imagine,76.9
721Ja6aOYSo,4,right,80.7
721Ja6aOYSo,4,frame,81.0
721Ja6aOYSo,4,mind,81.3
721Ja6aOYSo,4,watch,82.5
721Ja6aOYSo,4,watch,83.8
721Ja6aOYSo,4,lot,84.3
721Ja6aOYSo,4,come,85.5
721Ja6aOYSo,4,day,85.9
721Ja6aOYSo,4,political,86.8
721Ja6aOYSo,4,violence,87.4
721Ja6aOYSo,4,beget,87.9
721Ja6aOYSo,4,political,88.7
721Ja6aOYSo,4,violence,89.1
721Ja6aOYSo,4,true,90.4
721Ja6aOYSo,4,iron,90.9
721Ja6aOYSo,4,law,91.2
721Ja6aOYSo,4,change,91.9
721Ja6aOYSo,4,matter,94.7
721Ja6aOYSo,4,commit,95.2
721Ja6aOYSo,4,violence,95.7
721Ja6aOYSo,4,pretext,97.0
721Ja6aOYSo,4,matter,98.1
721Ja6aOYSo,5,self,98.8
721Ja6aOYSo,5,demagogue,99.7
721Ja6aOYSo,5,sure,100.4
721Ja6aOYSo,5,violence,100.9
721Ja6aOYSo,5,justify,101.4
721Ja6aOYSo,5,necessary,102.4
721Ja6aOYSo,5,assure,104.3
721Ja6aOYSo,5,lie,105.0
721Ja6aOYSo,5,past,106.3
721Ja6aOYSo,5,month,107.0
721Ja6aOYSo,5,duty,108.7
721Ja6aOYSo,5,oppose,109.2
721Ja6aOYSo,5,simply,111.3
721Ja6aOYSo,5,political,111.8
